JD,V Magnitude
2457783.68527,3.75
2457786.56763,4.142
2457787.61667,4.158
2457788.6265,4.018
2457790.63917,3.79
2457797.55265,4.159
2457798.59105,4.008
2457802.60036,3.692
2457803.61527,3.733
2457807.59679,4.083
2457810.55973,3.794
2457811.57149,3.761
2457814.70866,3.813
2457815.5926,3.907
2457817.56896,4.204
2457824.73252,3.741
2457827.56583,4.084
2457828.57711,4.028
2457835.61714,3.855
2457844.61657,3.696
2457845.58661,3.832
2457851.58102,3.731
2457857.58547,4.049
2457860.60358,3.855
2457866.57023,3.928
2458035.94324,3.685
2458043.87488,3.816
2458044.84336,3.744
2458046.89111,3.731
2458063.80116,3.873
2458070.86207,4.157
2458078.92048,3.873
2458079.75909,4.009
2458081.77755,4.15
2458083.7987,3.917
2458085.84207,3.708
2458086.80467,3.657
2458090.73861,4.117
2458101.88499,4.126
2458107.66617,3.707
2458111.66497,4.161
2458114.66766,3.857
2458116.32873,3.623
2458123.62769,4.011
2458124.63588,3.885
2458131.74743,4.109
2458132.75798,4.135
2458135.63593,3.787
2458136.63008,3.717
2458137.68769,3.675
2458139.58973,3.909
2458144.65455,3.944
2458146.57432,3.757
2458151.57858,4.103
2458155.35381,3.756
2458157.59931,3.66
2458160.63084,3.929
2458162.35168,4.091
2458162.604,4.115
2458164.60783,3.937
2458165.63987,3.803
2458166.77699,3.721
2458168.61633,3.675
2458170.60065,3.919
2458171.59317,4.042
2458174.62621,3.947
2458181.57698,4.042
2458187.69767,3.648
2458188.55903,3.692
2458189.53475,3.763
2458191.58515,4.012
2458192.56267,4.104
2458193.61243,4.104
2458195.56686,3.875
2458199.57261,3.729
2458208.62664,3.64
2458210.59432,3.802
2458213.57824,4.099
2458215.57845,3.94
2458216.56452,3.757
2458227.33525,3.659
2458228.59093,3.639
2458234.59442,4.042
2458237.57851,3.772
2458238.58734,3.659
