JD,Magnitude
2445168.0118,4.744
2445168.0132,4.74
2445168.0132,4.74
2445168.0146,4.737
2445168.0146,4.737
2445168.016,4.734
2445168.016,4.734
2445168.0174,4.731
2445168.0174,4.731
2445168.0188,4.728
2445168.0188,4.728
2445168.0215,4.725
2445168.0215,4.725
2445168.0229,4.721
2445168.0229,4.721
2445168.0243,4.72
2445168.0243,4.72
2445168.0257,4.718
2445168.0257,4.718
2445168.0271,4.715
2445168.0271,4.715
2445168.0361,4.73
2445168.0361,4.73
2445168.0375,4.73
2445168.0375,4.73
2445168.0389,4.728
2445168.0389,4.728
2445168.0403,4.727
2445168.0403,4.727
2445168.0417,4.726
2445168.0417,4.726
2445168.0431,4.723
2445168.0431,4.723
2445168.0444,4.722
2445168.0444,4.722
2445168.0458,4.719
2445168.0458,4.719
2445168.0472,4.718
2445168.0472,4.718
2445168.0486,4.717
2445168.0486,4.717
2445168.05,4.712
2445168.05,4.712
2445168.0514,4.71
2445168.0514,4.71
2445168.0625,4.71
2445168.0625,4.71
2445168.0639,4.711
2445168.0639,4.711
2445168.0653,4.707
2445168.0653,4.707
2445168.0681,4.684
2445168.0681,4.684
2445168.0694,4.679
2445168.0694,4.679
2445168.0708,4.676
2445168.0708,4.676
2445168.0736,4.683
2445168.0736,4.683
2445168.0757,4.68
2445168.0757,4.68
2445168.0771,4.671
2445168.0771,4.671
2445168.0785,4.663
2445168.0785,4.663
2445168.0868,4.652
2445168.0868,4.652
2445168.0882,4.655
2445168.0882,4.655
2445168.0903,4.662
2445168.0903,4.662
2445168.0917,4.664
2445168.0917,4.664
2445168.0951,4.678
2445168.0951,4.678
2445168.1042,4.651
2445168.1042,4.651
2445168.1056,4.649
2445168.1056,4.649
2445168.1069,4.647
2445168.1069,4.647
2445168.1083,4.645
2445168.1083,4.645
2445168.1111,4.635
2445168.1111,4.635
2445168.1125,4.637
2445168.1125,4.637
2445168.1222,4.657
2445168.1222,4.657
2445168.1236,4.657
2445168.1236,4.657
2445168.125,4.659
2445168.125,4.659
2445168.1264,4.663
2445168.1264,4.663
2445168.1285,4.665
2445168.1285,4.665
2445168.1299,4.667
2445168.1299,4.667
2445168.1313,4.67
2445168.1313,4.67
2445168.1333,4.676
2445168.1333,4.676
2445168.1347,4.676
2445168.1347,4.676
2445168.1361,4.677
2445168.1361,4.677
2445168.1465,4.69
2445168.1465,4.69
2445168.1479,4.692
2445168.1479,4.692
2445168.1493,4.696
2445168.1493,4.696
2445168.1507,4.698
2445168.1507,4.698
2445168.1535,4.703
2445168.1535,4.703
2445168.1549,4.706
2445168.1549,4.706
2445168.1563,4.709
2445168.1563,4.709
2445168.1576,4.712
2445168.1576,4.712
2445168.1597,4.718
2445168.1597,4.718
2445168.1688,4.707
2445168.1688,4.707
2445168.1701,4.712
2445168.1701,4.712
2445168.1715,4.714
2445168.1715,4.714
2445168.1736,4.715
2445168.1736,4.715
2445168.175,4.716
2445168.175,4.716
2445168.1826,4.721
2445168.1826,4.721
2445168.184,4.719
2445168.184,4.719
2445168.1854,4.716
2445168.1854,4.716
2445168.1882,4.722
2445168.1882,4.722
2445168.1896,4.722
2445168.1896,4.722
2445168.191,4.726
2445168.191,4.726
2445168.1924,4.727
2445168.1924,4.727
2445168.1938,4.733
2445168.1938,4.733
2445168.1951,4.733
2445168.1951,4.733
2445168.1965,4.734
2445168.1965,4.734
2445168.2049,4.755
2445168.2049,4.755
2445168.2063,4.756
2445168.2063,4.756
2445168.2076,4.754
2445168.2076,4.754
2445168.2097,4.755
2445168.2097,4.755
2445168.2111,4.752
2445168.2111,4.752
2445168.2125,4.751
2445168.2125,4.751
